#,Phase,Description,Qty,Unit,Unit Cost,RCV,Cat,Sel
1,Packout,Eval. pack & invent. misc items - per Med box-high density,72,EA,32.89,2368.08,CPS,BXMME>
2,Packout,Eval. pack & invent. misc items - per Lg box-high density,4,EA,41.58,166.32,CPS,BXMLE>
3,Packout,"Evaluate, tag, & inventory miscellaneous - per item",30,EA,11.81,354.3,CPS,TAG
4,Packout,Provide furniture lightweight blanket/pad,20,EA,9.07,181.4,CPS,PAD
5,Packout,"Bubble wrap - 48"" wide - Add-on cost for fragile items",504,LF,0.4,201.6,,
6,Packout,"Provide stretch film/wrap - 20"" x 1000' roll",2,RL,29.83,59.66,CPS,WRAP
7,Handling to Storage,"Inventory, Packing, Boxing, and Moving charge - per hour",24.5,HR,79.04,1936.48,,
8,Handling to Storage,Moving van (21'-27') and equipment (per day),2,EA,202.42,404.84,CPS,TR>
9,Storage,Off-site storage vault (per month),8,MO,195.0,1560.0,CPS,STORV
10,Handling from Storage,Moving van (21'-27') and equipment (per day),2,EA,202.42,404.84,CPS,TR>
11,Handling from Storage,"Inventory, Packing, Boxing, and Moving charge - per hour",24.5,HR,79.04,1936.48,,
12,Pack back,Eval. pack & invent. misc items - per Med box-high density,72,EA,28.29,2036.88,,
13,Pack back,Eval. pack & invent. misc items - per Lg box-high density,4,EA,35.76,143.04,,
14,Pack back,"Evaluate, tag, & inventory miscellaneous - per item",30,EA,11.81,354.3,CPS,TAG
15,Pack back,Haul debris - per pickup truck load - including dump fees,1,EA,162.03,162.03,DMO,PU
